"EXIOBASE region","SCAF region"
"AT","EUR"
"BE","EUR"
"BG","EUR"
"CY","EUR"
"CZ","EUR"
"DE","EUR"
"DK","EUR"
"EE","EUR"
"ES","EUR"
"FI","EUR"
"FR","EUR"
"GR","EUR"
"HR","EUR"
"HU","EUR"
"IE","EUR"
"IT","EUR"
"LT","EUR"
"LU","EUR"
"LV","EUR"
"MT","EUR"
"NL","EUR"
"PL","EUR"
"PT","EUR"
"RO","EUR"
"SE","EUR"
"SI","EUR"
"SK","EUR"
"GB","EUR"
"US","USA"
"JP","JPN"
"CN","CHA"
"CA","CAZ"
"KR","OAS"
"BR","LAM"
"IN","IND"
"MX","LAM"
"RU","REF"
"AU","CAZ"
"CH","NEU"
"TR","NEU"
"TW","CHA"
"NO","NEU"
"ID","OAS"
"ZA","SSA"
"WA","OAS"
"WL","LAM"
"WE","NEU"
"WF","SSA"
"WM","MEA"
